,dependency,repo,dependencyType,monthsFromAbandonmentToRemoval,depAbandonedAt,abandonmentTypeBinary,statusEver,repoAgeAtAbandonment,totalNumDependencies,numNormalDeps,numDevDeps,totalDependencyChurn,repoSize,numCommits,numMaintainers,numCorporateCommits,useDepManagementTools,hasCoC,hasContributing,hasLicense,hasIssueTemplate,hasPRTemplate,hasREADME,numREADMEHeaders,avgTechnicalLagDays,medianTechnicalLagDays,hasTechnicalLag,numIssuesOpened,numIssuesClosed,latestCommit,numStarsCurrent
562,react-navigation-stack,inaturalist/SeekReactNative,dependency,1,2/1/20,explicit-notice,1,17,56,44,12,255,74840,1440,1,0,0,0,0,0,0,0,1,6,5.222222222,0,1,42,41,11/1/23,124
191,shortid,Inkala/brastlewark-directory,dependency,NA,7/1/20,explicit-notice,0,6,21,17,4,23,1904,40,1,0,0,0,0,0,0,0,1,7,39.85,0,1,0,0,2/1/21,0
308,grunt-contrib-less,Interfacing/backbone-marionette-widget-gridview,dependency,NA,10/1/18,activity-based,0,40,25,23,2,0,280,0,0,0,0,0,0,1,0,0,1,13,740.125,770.5,1,0,0,1/1/23,4
133,react-native-swipeout,investargetIT/investarget-react-native,dependency,NA,6/1/19,explicit-notice,0,21,36,32,4,6,13492,74,1,0,0,0,0,1,0,0,1,0,213.84375,35.5,1,0,0,5/1/20,0
39,gulp-htmlclean,invider/cybergrid-13,dependency,NA,12/1/18,activity-based,0,27,4,3,1,0,6860,0,0,0,0,0,0,1,0,0,1,1,346,346,1,0,0,4/1/21,1
138,@types/node,iOffice/ts-publish,devDependency,NA,1/1/17,activity-based,0,3,11,5,1,41,124,60,1,0,0,0,0,1,0,0,1,7,0,0,0,0,0,7/1/19,0
150,twitter,ionic-team/ionic-site,dependency,NA,3/1/18,activity-based,0,50,60,60,0,52,623968,1681,4,0,0,0,1,1,0,0,1,6,145.8909091,0,1,102,52,4/1/23,454
29,reactify,ipfs/file-browser,dependency,NA,6/1/16,explicit-notice,0,10,3,3,0,3,2792,12,1,0,0,0,0,0,0,0,1,1,38.5,38.5,1,2,1,4/1/20,16
233,ethereumjs-block,ipld/js-ipld-ethereum,dependency,NA,4/1/20,explicit-notice,0,33,13,9,4,21,232,17,3,0,1,0,1,1,0,0,1,6,0,0,0,2,2,8/1/21,40
363,jest-environment-jsdom-fourteen,isrc-cas/Summer-2020-Homepage,dependency,NA,11/1/20,explicit-notice,0,7,65,65,0,68,15892,1031,3,0,0,0,0,1,0,0,1,6,267.1803279,256,1,0,0,3/1/21,10
355,i18next-xhr-backend,ituraj/portfolio,dependency,NA,4/1/20,explicit-notice,0,10,10,10,0,10,1772,20,1,0,0,0,0,0,0,0,1,12,84.33333333,0,1,0,0,7/1/22,0
948,@zeit/next-css,ivansglazunov/vshsdt,dependency,NA,12/1/20,explicit-notice,0,17,99,99,0,0,1864,0,0,0,0,0,0,0,0,0,1,11,127.5918367,0,1,0,0,7/1/21,0
928,react-native-fetch-blob,iwalker7/heelloo,dependency,10,3/1/19,explicit-notice,1,21,26,22,4,0,90332,1,1,0,0,0,0,1,0,0,1,3,263.625,316.5,1,0,0,4/1/20,0
173,cordova-plugin-androidx,jackbayliss/cordova-plugin-stripe-intent,dependency,NA,9/1/20,explicit-notice,0,8,2,2,0,3,3168,27,3,0,1,0,0,1,0,0,1,12,0,0,0,0,0,1/1/22,1
707,request,jackbuehner/node-js-scraping-heroku,dependency,NA,2/1/20,explicit-notice,0,51,16,16,0,0,192,0,0,0,0,0,0,1,0,0,1,18,439.3333333,0,1,0,0,8/1/20,0
171,detect-file,jackyyyy/jackyyyy.github.io,dependency,NA,10/1/17,activity-based,0,28,301,295,6,301,4460,48,1,0,0,0,0,1,0,0,1,1,188.0614334,0,1,0,0,3/1/18,2
387,parse-github-url,jaebradley/react-made-with,dependency,NA,4/1/18,activity-based,0,2,43,12,31,48,772,18,3,0,1,0,0,1,0,0,1,5,2.238095238,0,1,1,0,5/1/18,1
733,request,james58899/dmhy-telegram,dependency,NA,2/1/20,explicit-notice,0,44,8,5,3,57,144,96,3,0,0,0,0,1,0,0,1,4,0,0,0,0,0,12/1/22,42
41,gulp-htmlclean,jantm/gleb,dependency,NA,12/1/18,activity-based,0,32,19,16,3,0,120,0,0,0,0,0,0,1,0,0,1,8,387.1666667,361,1,0,0,5/1/19,0
890,null-loader,jasononeil/webpack-haxe-loader,dependency,NA,12/1/20,explicit-notice,0,42,8,8,0,0,296,4,1,0,1,0,1,1,0,0,1,17,853.25,927,1,0,0,2/1/22,37
420,babel-plugin-transform-decorators-legacy,jay0815/react_from_zero,dependency,NA,9/1/18,activity-based,0,15,85,74,11,106,1708,72,1,0,0,0,0,0,0,0,1,7,69.7125,0,1,0,0,6/1/19,6
859,eslint-loader,jblb2424/text-survivor,dependency,NA,9/1/20,explicit-notice,0,5,57,50,7,57,1420,60,1,1,0,0,0,0,0,0,1,1,203.875,192,1,0,0,10/1/20,0
568,react-navigation-stack,jboteros/tybamobile,dependency,NA,2/1/20,explicit-notice,0,4,32,24,8,32,2044,11,1,0,0,0,0,0,0,0,1,11,28.16666667,0,1,0,0,7/1/20,0
182,ionic-plugin-keyboard,jboz/timbrage,dependency,NA,1/1/18,explicit-notice,0,8,49,44,5,83,14076,79,1,0,0,0,1,1,0,0,1,6,57.1875,40.5,1,0,0,9/1/19,0
671,request,jce-il/mean-seed-gen,dependency,NA,2/1/20,explicit-notice,0,48,50,21,29,0,2648,0,0,0,0,0,0,0,0,0,1,9,996.2040816,1216,1,0,0,7/1/20,0
831,eslint-loader,jcharry/newtown-creek,devDependency,4,9/1/20,explicit-notice,1,48,63,20,43,0,67916,0,0,0,0,0,0,0,0,0,1,2,778.3606557,1009,1,0,0,1/1/21,0
950,eslint-plugin-flow-vars,jdbence/public-transportation,dependency,NA,8/1/16,explicit-notice,0,1,26,26,0,26,960,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,9/1/16,0
493,accounting,jdmoody/node-everything,dependency,NA,5/1/17,activity-based,0,35,22750,22750,0,0,532,0,0,0,0,0,0,1,0,0,1,0,3.572932331,0,1,0,0,9/1/20,0
410,laravel-elixir,jdrda/olapus,devDependency,NA,3/1/20,explicit-notice,0,53,9,0,9,0,19196,9,1,0,0,0,0,1,0,0,1,9,160.125,0,1,0,0,5/1/23,9
103,react-virtualized-select,JDRomano2/venomkb,dependency,NA,10/1/18,explicit-notice,0,20,74,41,33,165,193416,223,3,0,0,0,0,1,0,0,1,7,15.51428571,0,1,0,0,4/1/19,1
779,webfonts-generator,jeerbl/webfonts-loader,dependency,21,10/1/17,explicit-notice,1,8,9,4,5,56,1228,101,2,0,0,0,0,1,0,0,1,21,16.71428571,0,1,26,24,4/1/23,189
689,request,jeffgore00/fleetrack,dependency,NA,2/1/20,explicit-notice,0,22,29,16,13,0,4312,2,1,0,0,0,0,0,0,0,1,1,101.7142857,0,1,0,0,6/1/21,3
152,weather-js,jen-fong/Lineup,dependency,NA,3/1/19,explicit-notice,0,1,6,6,0,6,104,3,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,9/1/19,0
773,start,jeromeklam/les-eco-pattes,dependency,7,3/1/20,explicit-notice,1,4,91,81,10,108,11860,129,3,0,0,0,0,1,0,0,1,4,306.8863636,0,1,0,0,10/1/21,0
734,request,jeronimomora/devconnector-MERN,dependency,NA,2/1/20,explicit-notice,0,4,36,21,15,40,1212,16,2,0,0,0,0,0,0,0,0,-1,8.2,0,1,0,0,9/1/20,0
489,oauthio-web,jkosir/qa,dependency,NA,12/1/17,activity-based,0,20,25,10,15,0,396,0,0,0,0,0,0,1,0,0,1,3,280.7727273,258,1,0,0,9/1/21,1
80,angular-font-awesome,jmanuelvm/msn_mobile_platzi_pre,dependency,NA,11/1/18,explicit-notice,0,4,25,23,2,26,452,28,1,0,0,0,0,0,0,0,0,-1,169,168,1,0,0,3/1/19,0
270,rollup-plugin-alias,jmoudi/ts-tools-rollup,dependency,NA,10/1/19,explicit-notice,0,4,44,38,6,47,8016,4,1,0,0,0,0,0,0,0,0,-1,-2,-2,-2,0,0,12/1/19,0
465,postcss-cssnext,jnsoo123/chowpocket,dependency,NA,5/1/18,explicit-notice,0,12,34,33,1,36,113388,439,3,0,0,0,0,0,0,0,1,1,136.40625,0,1,0,0,8/1/18,0
298,sw-toolbox,joabetc/johariWindowApp,dependency,NA,4/1/19,explicit-notice,0,12,28,26,2,29,2180,43,1,0,0,0,0,0,0,0,1,1,333.4074074,364,1,0,0,5/1/20,0
509,tslint,joaopaschoal/instagram-clone,devDependency,NA,1/1/20,explicit-notice,0,19,36,17,19,25,9004,3,2,0,1,0,0,0,0,0,1,7,293.2571429,230,1,0,0,5/1/21,0
850,eslint-loader,joeHillman/react-workbench,dependency,NA,9/1/20,explicit-notice,0,26,57,40,17,0,3992,0,0,0,0,0,0,0,0,0,1,1,644.2363636,711,1,0,0,12/1/20,0
17,vis,johannesh2/vcf-network,dependency,2,7/1/19,explicit-notice,1,2,25,10,15,31,1996,26,1,0,0,0,1,1,0,0,1,5,20.90909091,0,1,0,0,1/1/20,0
668,request,jonluca/RandomComic,dependency,NA,2/1/20,explicit-notice,0,33,12,12,0,2,988,3,2,0,1,0,1,0,0,0,1,4,0.444444444,0,1,0,0,2/1/21,0
6,node-trello,jonnochoo/trello-meals,dependency,NA,4/1/18,activity-based,0,22,22,14,8,0,1688,0,0,0,0,0,0,0,0,0,1,1,167.7142857,0,1,0,0,6/1/21,0
610,request,jonpacker/vinmonopolet-store-diff,dependency,NA,2/1/20,explicit-notice,0,27,23,23,0,0,508,4,1,0,0,0,0,0,0,0,0,-1,114.75,0,1,0,0,6/1/23,2
423,babel-plugin-transform-decorators-legacy,joostory/tistory-editor,devDependency,2,9/1/18,activity-based,1,25,57,37,20,196,888,131,1,0,0,0,0,1,0,0,1,8,8.137254902,0,1,18,13,3/1/23,93
712,request,josephsurin/su-downloader3,dependency,NA,2/1/20,explicit-notice,0,12,13,6,7,15,396,72,1,0,1,0,0,1,0,0,1,29,20.41666667,0,1,0,0,10/1/21,21
590,react-router-redux,joshgagnon/jasons-formal,dependency,NA,7/1/18,explicit-notice,0,7,56,55,1,58,756,52,1,0,0,0,0,0,0,0,1,1,35.36734694,0,1,0,0,11/1/22,0
856,eslint-loader,JoshuaHall/personal-site,dependency,5,9/1/20,explicit-notice,1,5,71,28,43,243,20828,194,3,0,1,0,0,1,0,0,1,1,23.71929825,0,1,0,0,3/1/21,1
335,gulp-util,JPeer264/gulp-rcs,dependency,25,12/1/17,explicit-notice,1,12,10,6,3,22,148,65,1,0,0,0,0,0,0,0,1,21,142.6666667,24,1,1,1,9/1/20,10
348,hubot-redis-brain,jschley/hubot-new,dependency,NA,6/1/18,activity-based,0,43,16,16,0,0,60,0,0,0,0,0,0,0,0,0,1,11,582.9333333,752,1,0,0,11/1/20,0
14,ng2-dnd,jscriptcoder/yuppie-smoothie,dependency,NA,3/1/18,activity-based,0,20,39,23,16,0,26712,0,0,0,0,0,0,1,0,0,1,1,336.3333333,319,1,0,0,10/1/23,0
479,cli,jshint/jshint,dependency,NA,1/1/17,activity-based,0,36,21,8,13,4,5868,81,4,0,0,0,1,1,0,0,1,8,391.3333333,474,1,145,84,12/1/22,8923
534,node-jsx,jstclair/isomorphic-web,dependency,2,8/1/15,explicit-notice,1,10,37,6,31,86,72,15,1,0,0,0,0,0,0,0,1,4,43.34285714,0,1,0,0,3/1/16,0
715,request,jthomerson/jworg-language-info,dependency,15,2/1/20,explicit-notice,1,51,3,3,0,0,84,3,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,6/1/21,1
71,amazon-cognito-auth-js,jtviegas/store-ui,dependency,NA,3/1/20,explicit-notice,0,3,17,17,0,17,44436,7,1,6,0,0,0,1,0,0,1,13,12.3125,0,1,3,0,9/1/20,0
146,twitter,jugda/autoinvites,dependency,62,3/1/18,activity-based,1,27,4,4,0,3,52,10,1,0,0,0,0,0,0,0,1,1,131.6666667,0,1,0,0,5/1/23,0
117,codacy-coverage,jukbot/thai-citizen-id-validator,devDependency,43,2/1/20,explicit-notice,1,21,14,0,14,9,340,2,1,0,0,0,0,1,0,0,1,15,67.30769231,0,1,0,0,10/1/23,63
702,request,JulieBoberg/Social,dependency,4,2/1/20,explicit-notice,1,1,24,22,2,24,1152,6,1,0,0,0,0,0,0,0,0,-1,7.695652174,0,1,0,0,9/1/20,0
165,map-stream,Junte/junte-ui,devDependency,NA,4/1/19,explicit-notice,0,5,57,18,38,125,4168,251,3,0,0,0,0,1,0,0,1,2,86.57142857,35.5,1,0,0,9/1/21,9
187,shortid,just-read/justread-api,dependency,NA,7/1/20,explicit-notice,0,5,34,14,20,100,668,167,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12/1/20,6
861,eslint-loader,justinryder/cats-gg,dependency,NA,9/1/20,explicit-notice,0,27,53,51,2,56,74456,26,2,0,1,0,0,1,0,0,1,2,684.9411765,916,1,0,0,6/1/22,0
636,request,jvoltci/flai-API,dependency,NA,2/1/20,explicit-notice,0,11,7,7,0,18,192,380,1,0,0,0,0,0,0,0,1,5,41.16666667,0,1,0,0,3/1/23,1
398,karma-phantomjs-launcher,jwausle/rente-die-halbe-wahrheit,devDependency,11,12/1/17,activity-based,1,2,55,40,15,55,13628,5,2,0,0,0,0,1,0,0,1,4,25.20754717,0,1,1,0,11/1/18,0
816,merge-graphql-schemas,Kaakati/Apollo-Server-Boilerplate,dependency,NA,5/1/20,explicit-notice,0,15,13,13,0,0,176,2,1,0,0,1,0,0,0,0,1,5,5.5,0,1,0,0,7/1/21,11
644,request,Kai1997/person-blog-api,dependency,NA,2/1/20,explicit-notice,0,1,52,50,2,52,14048,5,1,0,0,0,0,0,0,0,1,1,131.1568627,0,1,0,0,5/1/20,0
840,eslint-loader,kantord/emuto-demo,dependency,NA,9/1/20,explicit-notice,0,23,59,53,6,0,740,0,0,0,0,0,0,0,0,0,1,150,362.9272727,443,1,0,0,8/1/21,2
313,grunt-contrib-less,kapit4n/passport-js-authentication-with-sails-js,dependency,NA,10/1/18,activity-based,0,25,20,20,0,0,620,0,0,0,0,0,0,0,0,0,1,10,643.7368421,791,1,0,0,8/1/20,0
95,webshot,kaylynb/cccards,dependency,16,1/1/17,activity-based,1,18,4,4,0,0,236,0,0,0,0,0,1,1,0,0,1,7,106.3333333,0,1,0,0,3/1/20,2
933,grunt-filerev,kbase/narrative,devDependency,1,3/1/18,explicit-notice,1,50,28,0,28,22,20416,990,4,0,0,0,1,1,0,0,1,8,225.4444444,106,1,0,0,11/1/23,16
919,bulma-extensions,KC3Kai/TsunDB-webpage,dependency,NA,5/1/20,explicit-notice,0,30,70,21,49,10,82636,81,2,0,1,0,0,0,0,0,1,9,206.969697,0,1,0,0,1/1/21,0
238,gifencoder,kdgilang/burn-contrib-banner,dependency,NA,1/1/19,activity-based,0,18,5,5,0,0,84,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,3/1/23,3
179,ionic-plugin-keyboard,Keigen69/ServiApp,dependency,NA,1/1/18,explicit-notice,0,1,29,27,2,29,317360,45,2,0,0,0,1,1,1,1,1,0,31.21428571,36.5,1,0,0,6/1/18,1
902,uglifyjs-webpack-plugin,kellymilligan/app-kellymilligan-2017,dependency,NA,12/1/19,explicit-notice,0,33,29,3,26,23,9608,14,2,0,0,0,0,0,0,0,1,6,102.3333333,0,1,0,0,1/1/20,0
364,jest-environment-jsdom-fourteen,KengoShimizu/portfolio_front,dependency,NA,11/1/20,explicit-notice,0,2,66,66,0,68,1716,6,1,0,0,0,0,0,0,0,1,6,234.5555556,227,1,0,0,1/1/21,0
541,tslint-config-airbnb,kevin-chen89/velog-server,dependency,NA,9/1/19,explicit-notice,0,8,50,50,0,55,776,45,1,0,0,0,0,0,0,0,1,0,11.72093023,0,1,0,0,10/1/20,0
15,alertify.js,kevinmic/PersonalBookRater_React,dependency,22,1/1/17,activity-based,1,14,21,7,14,3,972,19,1,0,0,0,0,0,0,0,1,0,99.68421053,0,1,1,0,11/1/18,0
68,express-jwt,kevinpqh/LyricsShare,dependency,NA,1/1/18,activity-based,0,16,67,40,27,0,47068,0,0,0,0,0,1,1,0,0,1,3,275.9032258,26.5,1,0,0,9/1/20,0
765,vue-clickaway,KHIT93/mailware,dependency,NA,5/1/18,activity-based,0,5,16,16,0,37,1556,196,1,0,0,0,0,0,0,0,1,1,25.4,0,1,2,0,10/1/23,8
246,save-svg-as-png,Kirgo-t4/bezier-editor,dependency,NA,6/1/20,explicit-notice,0,6,20,20,0,20,884,21,1,0,0,0,0,0,0,0,1,12,35.61111111,0,1,0,0,8/1/20,0
358,jest-environment-jsdom-fourteen,kisixing/ObVue_Plug,dependency,NA,11/1/20,explicit-notice,0,8,69,68,1,69,2772,18,1,0,0,0,0,0,0,0,1,1,240.5606061,262.5,1,0,0,5/1/21,0
55,atom-space-pen-views,KlappeZuAffeTot/atom-character-table,dependency,NA,1/1/17,activity-based,0,21,3,3,0,0,1888,2,2,0,0,0,0,1,0,0,1,7,0,0,0,0,0,7/1/18,0
503,vue-resource,klayders/messagesRepo,dependency,NA,1/1/19,activity-based,0,1,15,5,10,24,384,11,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,11/1/19,0
102,react-virtualized-select,kLPham/SPMEAL,dependency,NA,10/1/18,explicit-notice,0,8,42,39,3,52,3440,122,1,0,0,0,0,0,0,0,1,139,22.53658537,0,1,0,0,6/1/19,0
193,shortid,kmeshavkin/shortify,dependency,0,7/1/20,explicit-notice,1,1,27,7,20,73,988,16,1,0,0,0,0,1,0,0,1,1,11.48,0,1,0,0,8/1/23,0
865,extract-text-webpack-plugin,KooleSache/website,dependency,NA,5/1/19,explicit-notice,0,53,45,34,11,9,10416,6,1,0,0,0,0,0,0,0,1,3,505.3658537,630,1,0,0,10/1/22,2
530,glamorous,kor-ka/tq_scenes,dependency,NA,12/1/18,explicit-notice,0,6,20,20,0,29,1164,120,1,0,0,0,0,0,0,0,0,-1,105.4736842,0,1,0,0,9/1/19,0
147,twitter,kovacicmichael/liri-node-app,dependency,NA,3/1/18,activity-based,0,1,4,4,0,4,44,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5/1/18,0
851,eslint-loader,kpanyushin/react-boilerplate,dependency,NA,9/1/20,explicit-notice,0,13,47,47,0,1,1320,4,1,0,1,0,0,0,0,0,0,-1,102.8,0,1,0,0,2/1/21,0
813,typings,krack/angularjs-nodejs-framework,dependency,NA,6/1/17,explicit-notice,0,2,28,26,2,58,332,33,1,0,0,0,0,0,0,0,0,-1,108.8333333,61,1,0,0,12/1/19,0
33,ui-select,kronkltd/jiksnu,dependency,NA,10/1/19,explicit-notice,0,68,59,34,25,7,2792,26,2,0,1,0,0,1,0,0,1,7,363.1607143,99,1,0,0,1/1/20,13
278,react-transform-hmr,kshreve/personal,dependency,2,4/1/16,explicit-notice,1,2,44,44,0,112,556,75,1,0,0,0,0,0,0,0,1,1,46.55,0,1,0,0,4/1/17,2
392,deref,kshychko/est.testpoint.io,dependency,NA,10/1/18,explicit-notice,0,11,15,15,0,15,116,3,2,0,0,0,0,0,0,0,1,1,381.3571429,447,1,0,0,3/1/19,0
805,angular2-fontawesome,ksv97/powerq-client,dependency,NA,4/1/18,activity-based,0,1,35,17,18,35,1436,33,1,0,0,0,0,0,0,0,1,7,38.45454545,0,1,0,0,5/1/18,0
637,request,kubernetes-client/javascript,dependency,NA,2/1/20,explicit-notice,0,34,40,17,23,39,18912,202,5,68,0,0,1,1,0,0,1,14,103.0789474,0,1,96,88,11/1/23,1810
111,smooth-scroll,le717/CodeTriangle,dependency,0,4/1/20,explicit-notice,1,51,7,3,4,0,232,26,1,0,0,0,0,1,0,0,1,3,479.2,606,1,0,0,11/1/23,1
332,gulp-util,leachuk/recruitunit,devDependency,NA,12/1/17,explicit-notice,0,11,57,18,39,83,804,173,2,0,0,0,0,1,0,0,1,6,286.5090909,316,1,0,0,8/1/21,0
894,script-loader,LeadingEdgeForum/atlas2,devDependency,NA,11/1/19,explicit-notice,0,39,77,53,24,0,2272,0,0,0,1,0,1,1,0,0,1,4,216.5,0,1,1,0,5/1/21,168
301,istanbul,leakypixel/ipv4-to-integer,devDependency,31,4/1/17,explicit-notice,1,11,2,0,2,4,44,13,1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,11/1/19,0
435,irc,legekka/gekky,dependency,1,7/1/17,activity-based,1,5,9,9,0,9,82884,300,2,0,0,0,1,1,0,1,1,20,0,0,0,1,0,8/1/17,2
9,autoprefixer-core,less/less-plugin-autoprefix,dependency,0,9/1/15,explicit-notice,1,12,2,2,0,6,48,35,2,0,1,0,0,1,0,0,1,3,52,52,1,5,5,10/1/23,171
186,shortid,lexanth/tasks,dependency,NA,7/1/20,explicit-notice,0,14,40,33,7,0,792,8,2,0,1,0,0,0,0,0,1,3,207.7297297,208,1,0,0,8/1/20,0
537,csvjson,LibrariesHacked/Plymouth-3D,dependency,4,9/1/18,activity-based,1,13,23,23,0,117,104168,40,1,0,0,0,0,1,0,0,1,1,6.727272727,0,1,0,0,10/1/23,0
166,map-stream,lightspeeddevelopment/lsx,dependency,NA,4/1/19,explicit-notice,0,45,26,26,0,18,9048,167,3,0,0,0,0,1,0,0,1,16,117.7916667,0,1,4,4,5/1/23,35
213,js-sha256,likecoin/likecoin-store,dependency,4,9/1/18,activity-based,1,8,91,61,30,334,49844,2302,2,0,1,0,0,1,0,0,1,7,11.29069767,0,1,42,34,10/1/23,61
730,request,linedevth/LINE-Bot-101-Node,dependency,NA,2/1/20,explicit-notice,0,18,3,3,0,0,48,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12/1/22,8
496,vue-resource,literatesnow/rails-specific-spa,dependency,NA,1/1/19,activity-based,0,9,9,9,0,9,436,18,1,0,0,0,0,1,0,0,1,6,18.375,0,1,0,0,7/1/19,0
406,reverend,Littlest/littlest-isomorph,dependency,NA,5/1/15,explicit-notice,0,10,9,6,3,57,168,127,1,0,0,0,0,1,0,0,1,5,167.8571429,167,1,0,0,3/1/16,4
751,ember-getowner-polyfill,livilco/ember-cli-data-validation,dependency,2,5/1/18,explicit-notice,1,35,19,2,17,0,576,0,0,0,0,0,0,1,0,0,1,25,409.4705882,244,1,0,0,7/1/18,0
251,react-native,liwudi/qingqi-auto-owner-app,dependency,NA,1/1/17,activity-based,0,3,21,17,4,32,26708,450,3,0,0,0,0,0,0,0,1,1,14.7,0,1,0,0,8/1/17,0
555,react-native-side-menu,ll0406/BUCSSA-Front,dependency,NA,9/1/20,explicit-notice,0,39,32,29,3,0,38984,0,0,0,0,0,0,0,0,0,1,25,605.25,679,1,0,0,11/1/20,0
224,gatsby-plugin-prefetch-google-fonts,lockhartmb/goodytwospoons-gatsby,dependency,4,11/1/20,explicit-notice,1,11,31,30,1,56,7344,36,3,0,1,1,1,1,1,1,1,11,70.46666667,0,1,0,0,3/1/21,0
155,snekfetch,lolPants/dreddit,dependency,7,9/1/18,explicit-notice,1,10,6,5,1,17,108,43,2,0,0,0,0,1,0,0,1,11,54.25,34,1,0,0,11/1/23,0
621,request,lomey/node-slackr,dependency,NA,2/1/20,explicit-notice,0,69,7,3,4,0,92,0,0,0,0,0,0,0,0,0,1,5,712.5,807,1,0,0,6/1/20,0
497,vue-resource,Lord-Y/vue-cli-ssr-webpack4,dependency,NA,1/1/19,activity-based,0,5,61,19,42,64,596,13,2,0,0,0,0,0,0,0,1,13,27.13559322,0,1,0,0,3/1/21,0
679,request,lotosbin/issue2blog,dependency,NA,2/1/20,explicit-notice,0,5,4,4,0,4,52,13,1,0,0,0,0,1,0,0,1,4,14.66666667,0,1,1,0,3/1/20,1
268,cleverbot-node,lounge/klagobert,dependency,NA,12/1/17,activity-based,0,20,12,12,0,7,176,74,3,0,0,0,0,0,0,0,1,0,118,0,1,0,0,10/1/22,0
897,uglifyjs-webpack-plugin,lqblovezh/builder,dependency,NA,12/1/19,explicit-notice,0,1,40,40,0,40,108,2,1,0,0,0,0,0,0,0,1,1,33.63157895,0,1,0,0,4/1/21,0
83,angular-font-awesome,LucaRickler/portfolio,dependency,NA,11/1/18,explicit-notice,0,4,36,17,19,36,812,88,1,0,0,0,0,0,0,0,1,1,96.31428571,21,1,0,0,1/1/22,0
684,request,lucasdcorrea1/ServiceControl-backend,dependency,NA,2/1/20,explicit-notice,0,3,30,18,12,35,264,7,2,0,0,0,0,0,0,0,1,1,26.35714286,0,1,0,0,5/1/20,0
869,extract-text-webpack-plugin,lucaspchartier/Travel-Blog-Client,dependency,NA,5/1/19,explicit-notice,0,4,46,44,2,50,984,106,1,0,0,0,0,0,0,0,1,9,395.8139535,441,1,0,0,12/1/19,0
538,dirty-chai,lucilucency/footballx-cms,dependency,NA,4/1/18,activity-based,0,6,104,73,31,238,70436,87,1,0,0,0,0,1,0,0,1,1,45.62745098,0,1,0,0,8/1/18,1
742,rollup-plugin-commonjs,lucylulululu/portfolio,dependency,NA,12/1/19,explicit-notice,0,24,40,20,20,0,13468,0,0,0,0,0,0,1,0,0,1,12,539.5128205,576,1,0,0,11/1/20,0
900,uglifyjs-webpack-plugin,Luehang/react-paypal-button-v2,devDependency,NA,12/1/19,explicit-notice,0,10,46,2,42,80,168,84,2,0,0,0,1,1,1,0,1,34,52.37209302,0,1,28,15,3/1/22,274
923,stickyfilljs,lugarcia94/casaflora,dependency,NA,10/1/20,explicit-notice,0,11,81,15,66,81,6308,20,2,0,0,0,0,0,0,0,0,-1,203.9875,0,1,0,0,5/1/21,0
215,emojione,lukekarrys/one-at-a-time,dependency,NA,6/1/18,explicit-notice,0,28,70,33,37,94,936,37,2,0,1,0,0,0,0,0,1,1,43.90909091,0,1,3,3,12/1/19,0
825,react-contextmenu,lulusanders84/review-notes,dependency,NA,8/1/20,explicit-notice,0,13,30,30,0,35,2716,255,2,0,0,0,0,0,0,0,1,12,46.14285714,0,1,0,0,4/1/21,0
591,react-router-redux,lvguanzheng/analyze_opinion_onnetwork,dependency,NA,7/1/18,explicit-notice,0,3,70,21,49,72,1628,8,1,8,0,0,0,0,0,0,1,1,15.7761194,0,1,0,0,8/1/18,0
197,shortid,lyskoivan/js-task,dependency,NA,7/1/20,explicit-notice,0,8,29,4,25,44,800,4,3,0,0,0,0,0,0,0,1,2,167.3461538,0,1,0,0,11/1/21,0
500,vue-resource,lzyup/vue-eleme,dependency,NA,1/1/19,activity-based,0,4,54,4,50,54,1104,19,1,0,0,0,0,0,0,0,1,6,145.3962264,84,1,0,0,3/1/19,0
800,co,Ma63d/kovBlog,dependency,NA,1/1/17,activity-based,0,6,60,29,31,66,976,103,1,0,0,0,0,0,0,0,1,22,49.84482759,0,1,4,3,11/1/17,636
858,eslint-loader,maddemon/housing_appointment_frontend,dependency,NA,9/1/20,explicit-notice,0,17,61,56,5,0,992,35,1,0,1,0,0,0,0,0,1,12,393.0877193,469,1,0,0,11/1/20,0
208,devtron,madsnedergaard/heartbeats-app,dependency,NA,6/1/18,explicit-notice,0,13,84,16,68,99,2336,50,1,0,0,0,0,1,0,0,1,5,111.0375,0,1,7,0,12/1/19,0
650,request,maheshpcse/NodePro,dependency,NA,2/1/20,explicit-notice,0,2,34,34,0,39,11708,43,2,0,0,0,0,0,0,0,1,1,3.53125,0,1,0,0,6/1/20,0
250,react-native,maksimsemenov/ToDoNative,dependency,NA,1/1/17,activity-based,0,5,2,2,0,2,352,1,1,0,0,0,0,0,0,0,0,-1,137,137,1,0,0,3/1/18,0
507,tslint,malelang/SICJIF,devDependency,NA,1/1/20,explicit-notice,0,5,30,11,19,30,792,2,1,0,0,0,0,0,0,0,1,7,172.7931034,139,1,0,0,4/1/20,0
